,mean_train_auto_mse,mean_val_auto_mse,mean_train_auto_mae,mean_val_auto_mae,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 16 3 0.0002 0.0 0.01 300 0.2,95.88020706176758,174.31883239746094,1.420693427324295,5.895544707775116,14.432588577270508,64.7413387298584,3.252506136894226,71.36581087112427,1.4025428295135498,5.7306254506111145
simple_nn 48 5 0.0003 0.0 0.01 450 0.3,158.92110061645508,239.13567352294922,1.9859915375709534,6.329377293586731,22.20315456390381,90.24711608886719,3.3636502027511597,83.6959638595581,1.383608877658844,6.181561350822449
simple_nn 16 3 0.0003 0.0 0.01 300 0.1,99.92849540710449,181.4308853149414,1.335213303565979,6.006179213523865,13.32001781463623,57.34366512298584,3.4136003851890564,74.82464790344238,1.4324700832366943,5.920278072357178
simple_nn 16 5 0.0003 0.0 0.01 150 0.3,61.562395095825195,149.14261436462402,1.7775066792964935,6.569045186042786,16.013264894485474,79.49582004547119,3.4235993027687073,101.36350440979004,1.4341561496257782,7.042012929916382
simple_nn 48 5 0.0002 0.0 0.01 450 0.2,149.18500900268555,269.28559494018555,1.671393245458603,7.526128649711609,23.401340007781982,116.2182502746582,3.4375497102737427,119.73475456237793,1.466525673866272,7.460558176040649
simple_nn 48 5 0.0003 0.0 0.01 450 0.2,155.63995361328125,249.33434677124023,1.8625019788742065,6.8824321031570435,22.065523147583008,99.64631462097168,3.5012929439544678,95.07475471496582,1.4063362777233124,6.680752992630005
simple_nn 16 5 0.0002 0.0 0.01 150 0.1,59.40853404998779,133.3330783843994,1.2981387078762054,5.918661594390869,16.825947761535645,67.1186876296997,3.527948796749115,80.02270984649658,1.4614262878894806,6.096956729888916
simple_nn 48 5 0.0003 0.0 0.01 450 0.1,155.7021026611328,231.1282081604004,1.8483514785766602,6.029034495353699,22.532922744750977,83.9567518234253,3.545901656150818,83.83651065826416,1.431854635477066,6.180272936820984
simple_nn 16 5 0.0002 0.0 0.01 450 0.2,139.39849472045898,218.48899459838867,1.5473836660385132,5.886560678482056,20.002607345581055,78.44883060455322,3.5595902800559998,90.65213775634766,1.4571627378463745,5.9559242725372314
simple_nn 48 3 0.0003 0.0 0.01 450 0.1,158.14196014404297,251.5683937072754,1.9093626737594604,6.780134797096252,17.720704078674316,99.50666236877441,3.603433609008789,102.26441192626953,1.4285179674625397,6.66544497013092
