,mean_train_auto_mse,mean_val_auto_mse,mean_train_auto_mae,mean_val_auto_mae,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 16 3 0.0001 0.0 0.01 50 0.1,66.994704246521,180.11162185668945,2.360130548477173,7.396795034408569,19.146944999694824,91.77329349517822,16.942750215530396,126.00960540771484,3.17552649974823,7.414005517959595
simple_nn 16 3 0.0001 0.0 0.01 50 0.2,73.74308395385742,172.77031326293945,2.912359118461609,7.356020212173462,22.30606746673584,91.0799789428711,21.119979858398438,115.23938369750977,3.4329928159713745,7.003137946128845
simple_nn 16 3 0.0001 0.0 0.01 50 0.3,81.08011627197266,167.49243545532227,3.4932059049606323,7.2192137241363525,22.462542057037354,67.86207294464111,23.397474765777588,99.30389022827148,3.5985469222068787,6.758504390716553
simple_nn 16 3 0.0001 0.0 0.01 150 0.1,83.61013603210449,175.6565818786621,2.577525317668915,7.058233022689819,26.043853759765625,88.59697723388672,24.714881896972656,113.41057968139648,3.6447877287864685,7.089971423149109
simple_nn 16 3 0.0001 0.0 0.01 150 0.2,88.24782943725586,197.32586288452148,2.98084956407547,7.761565566062927,23.978047370910645,97.91275978088379,22.827378273010254,131.90913200378418,3.2796522974967957,7.854931831359863
simple_nn 16 3 0.0001 0.0 0.01 150 0.3,92.6833381652832,199.26329803466797,3.2652921080589294,7.397667646408081,22.966862678527832,75.65935134887695,20.609133005142212,121.36865234375,3.3564544916152954,6.807454347610474
simple_nn 16 3 0.0001 0.0 0.01 300 0.1,113.9395637512207,226.7270164489746,2.416847199201584,7.277022838592529,20.686453819274902,93.83847236633301,10.748245000839233,118.04455947875977,2.512080490589142,6.85099983215332
simple_nn 16 3 0.0001 0.0 0.01 300 0.2,120.56001663208008,223.74044799804688,2.8746047616004944,7.3928786516189575,23.664658069610596,82.2548942565918,14.980530738830566,105.37940216064453,2.8195708990097046,7.019723296165466
simple_nn 16 3 0.0001 0.0 0.01 300 0.3,134.3474636077881,257.07294845581055,3.6385849714279175,8.55868685245514,26.61888313293457,111.39089393615723,25.213374614715576,146.08472061157227,3.5339298248291016,8.403759241104126
simple_nn 16 3 0.0001 0.0 0.01 450 0.1,153.34343719482422,274.0267868041992,2.5070653557777405,7.343845963478088,26.236384868621826,83.85976886749268,17.52765417098999,112.1844425201416,3.043456792831421,6.682391166687012
simple_nn 16 3 0.0001 0.0 0.01 450 0.2,157.72397232055664,262.6084861755371,2.8469821214675903,7.286232948303223,22.8148455619812,93.1894359588623,10.854758024215698,113.53790855407715,2.5282482504844666,6.470131158828735
simple_nn 16 3 0.0001 0.0 0.01 450 0.3,172.62106323242188,256.66821670532227,3.5713056325912476,7.119435548782349,24.37569570541382,88.02159786224365,14.12362790107727,101.00307273864746,2.815697431564331,6.486001253128052
simple_nn 16 3 0.0001 0.0 0.05 50 0.1,160.73912048339844,238.11276245117188,3.084432303905487,6.492410659790039,48.9032039642334,98.4614143371582,18.43993091583252,83.43017959594727,3.1948294043540955,6.160014510154724
simple_nn 16 3 0.0001 0.0 0.05 50 0.2,163.5356903076172,270.8090629577637,3.2538304924964905,7.651975154876709,47.42725944519043,131.3978786468506,16.111218452453613,145.14972686767578,2.9765862822532654,7.751489520072937
simple_nn 16 3 0.0001 0.0 0.05 50 0.3,176.2910919189453,260.639949798584,4.01244980096817,7.520588278770447,49.66640758514404,122.18376159667969,20.625048398971558,130.18611907958984,3.302205443382263,7.2776877880096436
simple_nn 16 3 0.0001 0.0 0.05 150 0.1,246.7371482849121,333.6883850097656,3.1862584352493286,7.052876710891724,63.81471252441406,122.18658638000488,19.89643883705139,96.56256866455078,3.28432697057724,6.53324031829834
simple_nn 16 3 0.0001 0.0 0.05 150 0.2,251.15381622314453,345.83863830566406,3.2063074111938477,7.441876649856567,57.41140270233154,137.34411811828613,13.934683561325073,115.33941841125488,2.8440105319023132,7.029254674911499
simple_nn 16 3 0.0001 0.0 0.05 150 0.3,258.36276626586914,347.9949722290039,3.909565806388855,7.220317721366882,58.44661045074463,120.17289161682129,14.853327512741089,102.49354553222656,2.947671592235565,6.587625503540039
simple_nn 16 3 0.0001 0.0 0.05 300 0.1,395.17405700683594,498.66881561279297,2.753022015094757,6.997112989425659,68.20914363861084,136.43268585205078,13.641672372817993,114.00497627258301,2.7633503675460815,6.5595704317092896
simple_nn 16 3 0.0001 0.0 0.05 300 0.2,403.36917877197266,526.5543441772461,3.2858606576919556,7.724730849266052,64.18638801574707,145.101167678833,10.841877818107605,121.99401092529297,2.4246349930763245,6.609694600105286
simple_nn 16 3 0.0001 0.0 0.05 300 0.3,414.2003173828125,496.3719711303711,3.8999420404434204,7.3464038372039795,69.25806331634521,129.7368392944336,15.035541534423828,101.8947057723999,2.8482422828674316,6.470553874969482
simple_nn 16 3 0.0001 0.0 0.05 450 0.1,548.173828125,653.9536437988281,2.777632772922516,6.870592951774597,71.20759201049805,140.70180892944336,10.859239935874939,111.64824104309082,2.4287412762641907,6.832425594329834
simple_nn 16 3 0.0001 0.0 0.05 450 0.2,572.8961181640625,666.2014923095703,3.6626505851745605,7.1494656801223755,74.11496543884277,154.83649826049805,16.447743773460388,117.30009841918945,2.9283374547958374,6.9611886739730835
simple_nn 16 3 0.0001 0.0 0.05 450 0.3,570.9443817138672,660.4138031005859,3.718622922897339,7.375255227088928,71.79745101928711,122.77109909057617,13.21537733078003,94.00359535217285,2.744559645652771,6.457744717597961
simple_nn 16 3 0.0001 0.0 0.1 50 0.1,243.47437286376953,359.2797546386719,3.3780552744865417,7.623087763786316,78.66194343566895,159.5258846282959,15.363048553466797,128.94698524475098,2.9360929131507874,6.974985361099243
simple_nn 16 3 0.0001 0.0 0.1 50 0.2,262.2348098754883,337.32762908935547,4.427675724029541,7.503230333328247,84.56661224365234,157.78894996643066,24.49760389328003,122.3479356765747,3.5275259613990784,7.211912751197815
simple_nn 16 3 0.0001 0.0 0.1 50 0.3,266.20499420166016,340.56431579589844,4.672035574913025,7.384506702423096,83.05665016174316,145.9331455230713,26.53601861000061,114.17177200317383,3.7777604460716248,7.024165391921997
simple_nn 16 3 0.0001 0.0 0.1 150 0.1,424.8243865966797,522.7871627807617,3.2645724415779114,6.811129927635193,107.16748428344727,144.5433349609375,21.947258949279785,93.44044589996338,3.3076149821281433,6.028025269508362
simple_nn 16 3 0.0001 0.0 0.1 150 0.2,441.99659729003906,550.8240966796875,4.102472960948944,7.573546648025513,102.05710983276367,187.54703903198242,17.634558081626892,129.94140815734863,2.9627171754837036,6.530244946479797
simple_nn 16 3 0.0001 0.0 0.1 150 0.3,445.22703552246094,520.9747085571289,4.12595009803772,7.188067674636841,96.09957695007324,159.11322784423828,15.366206645965576,98.87804794311523,2.847929894924164,6.614789128303528
simple_nn 16 3 0.0001 0.0 0.1 300 0.1,720.0504150390625,830.8906555175781,3.0344521403312683,7.3662474155426025,108.95820999145508,174.1008071899414,10.973945379257202,96.52881717681885,2.5688472390174866,5.944140315055847
simple_nn 16 3 0.0001 0.0 0.1 300 0.2,737.0061340332031,852.0416107177734,3.5824394822120667,7.639915108680725,112.57373046875,183.2635841369629,12.936706781387329,119.6251277923584,2.745724320411682,6.710095524787903
simple_nn 16 3 0.0001 0.0 0.1 300 0.3,752.2823486328125,832.1229705810547,4.140339136123657,7.1771416664123535,122.79714584350586,191.4435157775879,16.507943630218506,122.30883026123047,2.9603959918022156,6.496433854103088
simple_nn 16 3 0.0001 0.0 0.1 450 0.1,1023.8692016601562,1111.3710327148438,3.0746467113494873,6.911992311477661,121.65938758850098,224.50517654418945,12.364749670028687,143.92497444152832,2.543604254722595,7.158317685127258
simple_nn 16 3 0.0001 0.0 0.1 450 0.2,1039.3948364257812,1139.7110290527344,3.5615092515945435,7.585901141166687,121.32406806945801,194.49211883544922,13.055547595024109,127.00297927856445,2.6522576808929443,7.007677793502808
simple_nn 16 3 0.0001 0.0 0.1 450 0.3,1054.3692932128906,1135.02880859375,4.115841805934906,7.2374043464660645,114.5958194732666,198.85696411132812,7.449986577033997,110.54643058776855,2.0448675751686096,6.5982688665390015
simple_nn 16 3 0.0001 0.05 0.01 50 0.1,88.63184356689453,167.3172264099121,3.884999454021454,6.819502115249634,30.032852172851562,75.58404636383057,37.986504554748535,115.9122200012207,4.724415898323059,6.890853404998779
simple_nn 16 3 0.0001 0.05 0.01 50 0.2,92.5518970489502,167.10887718200684,4.215140700340271,6.681041121482849,25.99259614944458,73.35343265533447,35.54662799835205,108.29212188720703,4.457677364349365,7.154448866844177
simple_nn 16 3 0.0001 0.05 0.01 50 0.3,93.67107963562012,193.92901992797852,4.353672742843628,7.836520791053772,26.84488344192505,98.98741436004639,36.584123611450195,140.15251922607422,4.641702175140381,7.633004784584045
simple_nn 16 3 0.0001 0.05 0.01 150 0.1,98.11336135864258,169.7565040588379,3.485273778438568,6.73968231678009,27.808393478393555,72.71395587921143,33.2283616065979,105.06182479858398,4.413156628608704,6.799429297447205
simple_nn 16 3 0.0001 0.05 0.01 150 0.2,106.67594146728516,185.99194145202637,3.996337354183197,7.2283278703689575,26.7463698387146,69.51001930236816,29.39598321914673,112.20954132080078,4.049579620361328,6.782077074050903
simple_nn 16 3 0.0001 0.05 0.01 150 0.3,105.86233139038086,244.8209342956543,3.995410680770874,8.463888883590698,28.83343267440796,108.94118881225586,31.529115676879883,169.33237838745117,4.247498631477356,8.461113691329956
simple_nn 16 3 0.0001 0.05 0.01 300 0.1,137.187894821167,224.831787109375,3.438240945339203,7.2929593324661255,31.56744623184204,89.22408866882324,30.241539478302002,114.51885986328125,4.177118539810181,6.534660220146179
simple_nn 16 3 0.0001 0.05 0.01 300 0.2,138.57899856567383,239.50403213500977,3.555580794811249,7.1384395360946655,27.303521156311035,79.46526622772217,26.704387664794922,121.63851928710938,4.006961762905121,6.84800398349762
simple_nn 16 3 0.0001 0.05 0.01 300 0.3,144.07219696044922,238.86392211914062,3.822288990020752,7.426275253295898,27.372190475463867,83.84250068664551,28.14799928665161,131.72296524047852,4.041898429393768,7.421174883842468
simple_nn 16 3 0.0001 0.05 0.01 450 0.1,175.53432083129883,289.6488342285156,3.120480716228485,7.4265981912612915,30.204062461853027,93.12466430664062,24.057953357696533,125.36962985992432,3.8030823469161987,6.821639001369476
