,mean_train_auto_mse,mean_val_auto_mse,mean_train_auto_mae,mean_val_auto_mae,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 16 3 0.0003 0.0 0.01 50 0.3,74.92109680175781,143.86570739746094,4.720409631729126,7.269329786300659,12.767026901245117,39.592020988464355,26.70133352279663,103.98672103881836,3.5203389525413513,6.593999266624451
simple_nn 16 3 0.0003 0.0 0.01 50 0.1,72.48981380462646,176.23932647705078,4.050756871700287,7.828335404396057,13.214993000030518,53.67685532569885,31.377763986587524,140.4226598739624,3.7384905219078064,7.6109232902526855
simple_nn 16 3 0.0003 0.0 0.01 50 0.2,67.24018287658691,180.81039428710938,3.894605576992035,8.308470964431763,13.807385206222534,56.78292942047119,26.01273012161255,134.0950412750244,3.4799994230270386,7.863281726837158
simple_nn 16 3 0.0003 0.05 0.01 50 0.3,112.78009796142578,176.71116828918457,6.1978981494903564,8.192559838294983,14.27808666229248,33.40203285217285,54.41237163543701,136.38229370117188,5.443427681922913,8.095796942710876
simple_nn 16 3 0.0003 0.05 0.01 50 0.1,206.4087905883789,250.76824569702148,8.341994404792786,10.127832889556885,14.432514429092407,81.62173652648926,96.54877281188965,243.60632514953613,6.177061080932617,10.452869176864624
simple_nn 16 3 0.0003 0.0 0.01 150 0.1,83.72441673278809,189.52899742126465,3.418937027454376,7.880696892738342,14.624779462814331,45.83801078796387,17.27307915687561,128.31745719909668,2.793031096458435,7.301816940307617
simple_nn 16 3 0.0003 0.1 0.01 50 0.2,144.5288848876953,185.88088607788086,7.01374876499176,8.277859210968018,15.041682481765747,29.332022190093994,78.30344009399414,143.42211723327637,6.487254858016968,8.611160397529602
simple_nn 16 3 0.0002 0.0 0.01 50 0.2,61.53757286071777,155.170259475708,3.220243275165558,6.987185120582581,15.193734645843506,62.29391574859619,16.400145769119263,106.29088401794434,2.9722915291786194,6.707299113273621
simple_nn 16 3 0.0003 0.1 0.01 50 0.3,120.06493377685547,159.499267578125,6.201969146728516,7.902415871620178,15.355759382247925,31.280978202819824,60.06548309326172,116.57417488098145,5.47230339050293,7.568668842315674
simple_nn 16 3 0.0003 0.0 0.01 150 0.3,98.02534484863281,180.0203094482422,4.247274696826935,7.628515005111694,15.371552467346191,40.97650623321533,21.766382217407227,104.25494194030762,3.254430055618286,7.027292370796204
