File accession,Actual Age,Predicted Mean Age,Predicted Stddev,Model Type
ENCFF666LTB,53.5,56.80725,1.6946543,simple_nn 16 5 0.0002 0.1 0.05
ENCFF680LKL,-0.4520547945205479,0.3726567,0.59877235,simple_nn 16 5 0.0002 0.1 0.05
ENCFF707ALK,75.5,73.24073,2.065979,simple_nn 16 5 0.0002 0.1 0.05
ENCFF708DLE,51.5,46.183144,1.5366156,simple_nn 16 5 0.0002 0.1 0.05
ENCFF711MVO,53.5,55.656727,1.6710087,simple_nn 16 5 0.0002 0.1 0.05
ENCFF729RVV,54.5,51.469276,1.6126567,simple_nn 16 5 0.0002 0.1 0.05
ENCFF751OJD,54.5,52.72667,1.6267312,simple_nn 16 5 0.0002 0.1 0.05
ENCFF772IQC,49.5,48.94095,1.5826803,simple_nn 16 5 0.0002 0.1 0.05
ENCFF782ZWK,-0.4657534246575342,0.18057695,0.59719604,simple_nn 16 5 0.0002 0.1 0.05
ENCFF799TTO,37.5,37.699734,1.3242084,simple_nn 16 5 0.0002 0.1 0.05
ENCFF842ASA,54.5,45.366344,1.5218349,simple_nn 16 5 0.0002 0.1 0.05
ENCFF865CYY,53.5,52.314316,1.6234026,simple_nn 16 5 0.0002 0.1 0.05
ENCFF905RDO,3.5,6.1775403,0.6417282,simple_nn 16 5 0.0002 0.1 0.05
ENCFF918SRL,81.5,56.537727,1.6900781,simple_nn 16 5 0.0002 0.1 0.05
ENCFF943PAL,37.5,53.62342,1.6385379,simple_nn 16 5 0.0002 0.1 0.05
ENCFF963REY,53.5,54.296394,1.6472771,simple_nn 16 5 0.0002 0.1 0.05
ENCFF981AHU,50.5,61.359276,1.7733585,simple_nn 16 5 0.0002 0.1 0.05
ENCFF004PUZ,34.5,45.828987,1.5714225,simple_nn 16 5 0.0002 0.1 0.05
ENCFF096GQC,41.5,53.491806,1.6560855,simple_nn 16 5 0.0002 0.1 0.05
ENCFF145KWC,37.5,42.790447,1.479521,simple_nn 16 5 0.0002 0.1 0.05
ENCFF149CDS,41.5,53.815834,1.6621717,simple_nn 16 5 0.0002 0.1 0.05
