File accession,Actual Age,Predicted Mean Age,Predicted Stddev,Model Type
ENCFF061HFF,51.5,53.999664,0.9715764,
ENCFF062WLH,84.5,83.28509,1.1459888,
ENCFF066MLC,86.5,73.77123,1.088914,
ENCFF083ENU,59.5,48.88023,0.9462004,
ENCFF122GSI,37.5,51.741047,0.9639036,
ENCFF127LVQ,51.5,43.654022,0.91638076,
ENCFF132YWJ,53.5,51.52116,0.9704626,
ENCFF141YUO,72.5,58.259254,0.9827309,
ENCFF184VIO,51.5,54.215,0.9756027,
ENCFF187IWC,41.5,57.345146,0.96486795,
ENCFF198NDW,88.5,83.93259,1.1481833,
ENCFF230VWV,37.5,38.030876,0.8729453,
ENCFF237VMY,53.5,50.663765,0.95949113,
ENCFF263CSV,54.5,48.470158,0.944124,
ENCFF271FIA,34.5,54.87806,0.9634971,
ENCFF282SRM,75.5,73.797165,1.087543,
ENCFF305GQX,54.5,51.09894,0.95512265,
ENCFF344ITP,37.5,48.789375,0.9402262,
ENCFF345SEW,89.5,83.91595,1.1513914,
ENCFF372LSW,53.5,46.519115,0.9312761,
ENCFF379RYN,0.0,1.0546782,0.6758411,
ENCFF389LZZ,-0.4410958904109589,1.5697836,0.6758609,
ENCFF393NEJ,83.5,79.83615,1.1272619,
ENCFF425FMW,76.5,63.929394,1.01912,
ENCFF466ENV,54.5,51.03013,0.95633066,
ENCFF486AVO,-0.4383561643835616,1.1311648,0.6750017,
ENCFF504XAW,53.5,31.986618,0.84277844,
ENCFF508OUM,37.5,47.641617,0.9344613,
ENCFF538GPP,-0.4986301369863014,1.4431108,0.6755291,
ENCFF614FJF,59.5,46.24909,0.93270427,
ENCFF624LJY,34.5,44.217045,0.911809,
ENCFF629NQR,-0.4410958904109589,1.5206952,0.67575425,
ENCFF640NVF,30.5,43.051636,0.9028534,
ENCFF649AZP,54.5,50.95547,0.9561289,
ENCFF664UKA,34.5,46.292797,0.91330373,
ENCFF682UWZ,61.5,45.771698,0.9265087,
ENCFF683LBN,37.5,38.029137,0.8725112,
ENCFF693HQZ,51.5,53.496323,0.96697176,
ENCFF704GNL,37.5,36.331264,0.8622782,
ENCFF751MDE,37.5,50.054543,0.95208013,
ENCFF752DGV,71.5,83.15116,1.1435372,
ENCFF800VAP,51.5,55.801193,0.9880769,
ENCFF839JMI,-0.4712328767123288,1.0603716,0.6760251,
ENCFF842QQE,59.5,44.62971,0.9139436,
ENCFF863EJN,54.5,50.79483,0.95448136,
ENCFF904YBG,51.5,52.96048,0.9678723,
ENCFF978EHV,-0.4712328767123288,0.98742074,0.67499363,
ENCFF995LGE,50.5,63.290264,1.0364655,
ENCFF996ZNX,37.5,47.446,0.9362376,
ENCFF020YCR,-0.038356164383561646,16.344606,0.6985786,
ENCFF051GOU,54.5,44.344955,0.85128933,
ENCFF051JTV,73.5,49.54182,0.923533,
ENCFF051QIL,-0.3835616438356164,-0.11723909,0.6712214,
ENCFF056BKL,60.5,50.891502,0.9340074,
ENCFF081IBY,75.5,70.92531,1.0706064,
ENCFF089KQW,34.5,31.998075,0.7151784,
ENCFF145RER,53.5,57.938156,0.9680346,
ENCFF152PBB,46.5,33.333702,0.7493074,
ENCFF223CEC,34.5,22.085917,0.70441294,
ENCFF237QAL,60.5,54.983013,0.9650207,
ENCFF243MMI,53.5,56.762405,0.9604527,
ENCFF258MFR,54.5,51.37563,0.87631184,
ENCFF280QYJ,25.5,53.660217,0.9546247,
ENCFF285STS,37.5,34.611053,0.74203146,
ENCFF298AQY,78.5,72.85187,1.095122,
ENCFF321LZL,51.5,57.476044,0.96897906,
ENCFF347MTT,81.5,81.903015,1.1652502,
ENCFF370MEL,61.5,59.803497,0.98584306,
ENCFF376RDO,53.5,50.21121,0.90725553,
ENCFF391CHK,60.5,58.404877,0.9923513,
ENCFF405UOK,37.5,32.912354,0.7345232,
ENCFF512IEA,37.5,31.172539,0.765268,
ENCFF513OZY,-0.5178082191780822,11.171086,0.6928277,
ENCFF520CVN,3.5,31.242794,0.71217066,
ENCFF561CAU,16.5,54.050095,0.93690443,
ENCFF568IBR,54.5,51.62408,0.89684784,
ENCFF585QLC,53.5,51.01305,0.914466,
ENCFF641DNV,53.5,51.071377,0.91806126,
ENCFF644MVM,34.5,23.959051,0.70965403,
ENCFF651XRK,53.5,61.43514,1.0000807,
ENCFF675KIN,53.5,56.825314,0.9589149,
ENCFF719ORU,54.5,53.72502,0.91655153,
ENCFF720WSA,37.5,30.456484,0.72313964,
ENCFF733OPS,81.5,81.47998,1.1623368,
ENCFF739NVT,53.5,55.913082,0.9501267,
ENCFF772JUK,54.5,51.29168,0.875918,
ENCFF810IVC,54.5,50.551067,0.87075454,
ENCFF812IKG,37.5,35.289955,0.7447967,
ENCFF827GEQ,53.5,53.47955,0.92068964,
ENCFF838MXD,75.5,65.13617,1.0200824,
ENCFF849YNY,16.5,52.987534,0.92635584,
ENCFF854IJU,81.5,74.87621,1.1057665,
ENCFF859MTR,53.5,50.686028,0.91450775,
ENCFF901QWB,37.5,25.3795,0.7245062,
ENCFF935CPK,51.5,44.721443,0.8674826,
ENCFF938WJH,53.5,55.20721,0.94482744,
ENCFF939ELA,-0.4904109589041096,9.053852,0.6805261,
ENCFF941YCV,75.5,65.81258,1.0262105,
ENCFF958TLM,51.5,54.47412,0.9262257,
ENCFF976KIV,-0.4602739726027397,9.389729,0.68642193,
ENCFF996QZC,37.5,47.55319,0.84106666,
