File accession,Actual Age,Predicted Mean Age,Predicted Stddev,Model Type
ENCFF292NFU,81.5,82.30606889724731,0.37701544,simple_nn 16 5 0.0002 0.1 0.05
ENCFF308FBT,37.5,48.991528034210205,0.47745004,simple_nn 16 5 0.0002 0.1 0.05
ENCFF360JKJ,30.5,31.566828072071075,0.49989158,simple_nn 16 5 0.0002 0.1 0.05
ENCFF380OMR,54.5,73.3767740726471,0.4492314,simple_nn 16 5 0.0002 0.1 0.05
ENCFF414FEQ,75.5,77.00708246231079,0.40076387,simple_nn 16 5 0.0002 0.1 0.05
ENCFF453NOK,-0.4383561643835615,17.718269337208508,0.715343,simple_nn 16 5 0.0002 0.1 0.05
ENCFF457LFU,37.5,39.7218102812767,0.45002994,simple_nn 16 5 0.0002 0.1 0.05
ENCFF470SWV,25.5,57.30004346370697,0.42918012,simple_nn 16 5 0.0002 0.1 0.05
ENCFF478LKK,53.5,64.63759708404541,0.44202194,simple_nn 16 5 0.0002 0.1 0.05
ENCFF478XEW,54.5,54.49089872837067,0.46909297,simple_nn 16 5 0.0002 0.1 0.05
ENCFF499SBY,81.5,82.97448539733887,0.38417247,simple_nn 16 5 0.0002 0.1 0.05
ENCFF501BBS,54.5,56.19504237174988,0.43997303,simple_nn 16 5 0.0002 0.1 0.05
ENCFF539LWO,32.5,47.60266697406769,0.44260368,simple_nn 16 5 0.0002 0.1 0.05
ENCFF642YRI,54.5,55.457769989967346,0.46953803,simple_nn 16 5 0.0002 0.1 0.05
ENCFF663VPI,-0.3835616438356164,-0.7289318355786278,1.207618,simple_nn 16 5 0.0002 0.1 0.05
ENCFF664DOP,54.5,64.18238973617554,0.4493295,simple_nn 16 5 0.0002 0.1 0.05
ENCFF666LTB,53.5,63.95009469985962,0.44141674,simple_nn 16 5 0.0002 0.1 0.05
ENCFF680LKL,-0.45205479452054786,0.48782194739574525,0.9269618,simple_nn 16 5 0.0002 0.1 0.05
ENCFF707ALK,75.5,74.79629421234131,0.40926045,simple_nn 16 5 0.0002 0.1 0.05
ENCFF708DLE,51.5,60.48167335987091,0.45697403,simple_nn 16 5 0.0002 0.1 0.05
ENCFF711MVO,53.5,65.4343376159668,0.44159037,simple_nn 16 5 0.0002 0.1 0.05
ENCFF729RVV,54.5,52.93949222564697,0.4392112,simple_nn 16 5 0.0002 0.1 0.05
ENCFF751OJD,54.5,58.83241415023804,0.43956286,simple_nn 16 5 0.0002 0.1 0.05
ENCFF772IQC,49.5,54.235870361328125,0.46490645,simple_nn 16 5 0.0002 0.1 0.05
