File accession,Actual Age,Predicted Mean Age
ENCFF006AHR,54.5,42.426885749951225
ENCFF011VNN,59.5,44.241752004956595
ENCFF012IXO,54.5,44.95341881698683
ENCFF015MOG,-0.4602739726027397,2.192139062894075
ENCFF022TOZ,3.5,32.910667079704915
ENCFF044KLK,51.5,41.98553045344403
ENCFF053IVC,31.5,55.62857346698985
ENCFF109FHC,37.5,47.29659638837347
ENCFF117DUU,54.5,47.6674624551214
ENCFF127DBK,87.5,97.08934948576854
ENCFF137PGF,-0.038356164383561646,38.416502091104356
ENCFF163VOI,51.5,47.30419086405893
ENCFF187WMV,54.5,44.56321548790068
ENCFF211RIL,-0.4602739726027397,25.729654077595782
ENCFF216VFC,53.5,52.4954545702386
ENCFF229BVH,54.5,42.95930513745656
ENCFF231KHQ,73.5,80.5363121619998
ENCFF236JWD,41.5,53.259022784232656
ENCFF278ZAD,51.5,42.234189685694844
ENCFF314WYI,54.5,48.25275826959995
ENCFF317PKP,34.5,47.564600759657836
ENCFF370WIV,53.5,47.25214223563856
ENCFF379NYQ,3.5,42.63842670303699
ENCFF384MSI,51.5,54.40740170264013
ENCFF391KDD,54.5,47.624093187231956
ENCFF410BWO,53.5,54.56510745561795
ENCFF423YBA,34.5,34.19418698287801
ENCFF471TIS,32.5,38.62938031316181
ENCFF474VCQ,51.5,46.13633518680853
ENCFF506IHN,75.5,69.12404772240299
ENCFF552GYH,30.5,34.3221821217274
ENCFF557GVR,86.5,87.69970021445712
ENCFF581DIL,-0.4520547945205479,12.8976583585975
ENCFF604EME,53.5,50.69806622537125
ENCFF618WXG,51.5,45.13066576208611
ENCFF646DAW,53.5,43.90163369695174
ENCFF653ZJK,51.5,52.96633076247609
ENCFF654FHZ,46.5,49.20016458381063
ENCFF657DER,51.5,48.719497330182286
ENCFF707BCP,51.5,53.72558219713332
ENCFF722IPW,34.5,33.72736817967225
ENCFF731AEQ,54.5,44.166226991679615
ENCFF757BTX,37.5,48.369017612865036
ENCFF759FVM,54.5,42.975905932134
ENCFF759WSX,59.5,51.846976834673924
ENCFF761PKU,37.5,48.0251377212745
ENCFF764HZI,37.5,38.50600315238964
ENCFF778FFI,3.5,32.369784586900145
ENCFF817RTJ,34.5,39.810827938673114
ENCFF863OBQ,77.5,40.99804819241855
ENCFF899GWP,-0.4602739726027397,14.869931986091483
ENCFF918PWP,26.5,43.261847958618084
ENCFF928LBS,34.5,40.548627916812464
ENCFF941PTG,54.5,48.19511944476618
ENCFF942ORX,30.5,43.36037339300157
ENCFF959YIL,54.5,48.02446891732975
ENCFF973MQG,40.5,46.30794607244316
