File accession,Actual Age,Predicted Mean Age
ENCFF063INA,54.5,47.26202177140646
ENCFF115FJH,-0.4712328767123288,-9.041199864825256
ENCFF130HHC,-0.4712328767123288,17.879419172765743
ENCFF183ZTW,37.5,43.75412070496019
ENCFF222RMN,53.5,46.59315514532699
ENCFF243ZOW,-0.4520547945205479,1.6786986119779712
ENCFF264MFY,51.5,45.91349335723341
ENCFF270XLP,51.5,49.15194522571908
ENCFF297EBP,89.5,75.20086938778165
ENCFF297SWX,50.5,49.65688267406233
ENCFF317RRR,37.5,44.35556241127229
ENCFF328YCC,-0.4602739726027397,3.7939723833974384
ENCFF334QRI,53.5,47.040382859786625
ENCFF345FEN,3.5,32.521588746200536
ENCFF353GUK,51.5,46.68241527219395
ENCFF386SPQ,37.5,50.24876749538957
ENCFF420OEX,37.5,49.349718866487905
ENCFF438TGS,81.5,69.3359464493922
ENCFF440XJX,-0.4383561643835616,22.093723180307997
ENCFF455IFH,87.5,84.99336361889556
ENCFF459TRQ,51.5,47.01335437114732
ENCFF522EVU,-0.4575342465753425,19.75542299704737
ENCFF528HJI,-0.4712328767123288,20.137054582143772
ENCFF561XGF,51.5,46.98832816141022
ENCFF562LJU,81.5,72.43270548665296
ENCFF600JRM,86.5,74.22331531246097
ENCFF620TPG,37.5,48.25561451883249
ENCFF624XUA,37.5,47.068572984864105
ENCFF638QNH,16.5,45.51401495387315
ENCFF660JSX,60.5,49.067475960349086
ENCFF674EEA,53.5,47.02360388559374
ENCFF690JQD,73.5,53.190243317270884
ENCFF693OWK,-0.5424657534246575,-3.7569067091321067
ENCFF708ZUU,41.5,49.148897079120545
ENCFF768CPB,51.5,46.528662962121274
ENCFF772YUJ,87.5,75.03260992170493
ENCFF790TGX,53.5,46.941724617970216
ENCFF803DMD,54.5,43.95293328147116
ENCFF816ZXG,73.5,50.030636641510625
ENCFF818TBD,-0.4712328767123288,6.215043126292944
ENCFF829JUO,86.5,80.31245773783616
ENCFF841DOI,81.5,73.09180485280075
ENCFF845LZN,37.5,44.86979341118385
ENCFF848SZN,-0.4904109589041096,16.568000647972557
ENCFF856MGM,30.5,40.604945887887226
ENCFF889NGP,34.5,33.929413860252026
ENCFF926BMQ,51.5,54.0340308304188
ENCFF928JCF,51.5,51.36744769620651
ENCFF970QKJ,51.5,47.91373014258632
