,Histone,Function,Scaler,Age Transform,Model,Mean MAE,Std MAE,Mean MSE,Std MSE,Mean R2,Std R2
0,H3K36me3,<function mean at 0x7f2a02fd0e60>,no,no,elastic_net,6.213004791235358,2.594934411599372,174.29420466079992,91.55168799512604,0.720811017202216,0.07642714939803395
1,H3K36me3,<function mean at 0x7f2a02fd0e60>,no,no,svr,14.02792747247726,7.498789724303229,597.7181122795885,250.1087507374153,0.006370239694516111,0.06320028936399595
2,H3K36me3,<function mean at 0x7f2a02fd0e60>,no,no,knn,9.351575342465754,4.603964454535911,324.1516772889337,154.83396087517883,0.4704410418769026,0.0838909067609313
3,H3K36me3,<function mean at 0x7f2a02fd0e60>,no,no,random_forest,6.794750000000002,2.4045424207093373,176.6861231255125,90.01587314707315,0.7137027792345294,0.07746580772035669
4,H3K36me3,<function mean at 0x7f2a02fd0e60>,no,no,gbr,5.149658992084802,1.618093379679032,192.41213929495208,80.12280653760233,0.675876504093933,0.0754955296991454
5,H3K36me3,<function mean at 0x7f2a02fd0e60>,standard,no,elastic_net,5.357382229409119,0.8779647738318168,144.06233940740552,67.75453681647345,0.7652298525449819,0.037592561346983536
6,H3K36me3,<function mean at 0x7f2a02fd0e60>,standard,no,svr,13.96768807384674,7.581766326296035,582.4764282893317,247.56544005288262,0.034524428877812235,0.06898173441267638
7,H3K36me3,<function mean at 0x7f2a02fd0e60>,standard,no,knn,8.702123287671233,2.4257013879869365,301.1916763586324,133.29460246098202,0.5050206592855951,0.061073117243623416
8,H3K36me3,<function mean at 0x7f2a02fd0e60>,standard,no,random_forest,6.799750000000001,2.4002503521488596,176.70007524653693,90.01379149388426,0.7136703999499072,0.07750612493257826
9,H3K36me3,<function mean at 0x7f2a02fd0e60>,standard,no,gbr,5.149658992084802,1.618093379679032,192.41213929495208,80.12280653760233,0.675876504093933,0.0754955296991454
10,H3K36me3,<function mean at 0x7f2a02fd0e60>,robust,no,elastic_net,5.830092092841175,1.2633849010215987,195.8262402946833,105.78300981652683,0.6858185910743897,0.05871424135097892
11,H3K36me3,<function mean at 0x7f2a02fd0e60>,robust,no,svr,13.81739645272984,7.439145308042669,580.4961318339055,247.37605541428448,0.03826939188765813,0.07071838858553965
12,H3K36me3,<function mean at 0x7f2a02fd0e60>,robust,no,knn,8.753767123287671,3.634157036807042,295.79813039628795,127.21771238523048,0.5055918799325841,0.049513859254936766
13,H3K36me3,<function mean at 0x7f2a02fd0e60>,robust,no,random_forest,6.799750000000001,2.4002503521488596,176.70007524653693,90.01379149388426,0.7136703999499072,0.07750612493257826
14,H3K36me3,<function mean at 0x7f2a02fd0e60>,robust,no,gbr,5.149658992084802,1.618093379679032,192.41213929495208,80.12280653760233,0.675876504093933,0.0754955296991454
15,H3K36me3,<function mean at 0x7f2a02fd0e60>,quantile,no,elastic_net,6.223021081020985,1.7191325887220519,158.72288915120768,63.853242133933215,0.7311929662950896,0.07779711870620376
16,H3K36me3,<function mean at 0x7f2a02fd0e60>,quantile,no,svr,13.791457357409021,7.453841874713795,601.1049693269938,253.3184121115618,0.0017769512944568466,0.06435336167588382
17,H3K36me3,<function mean at 0x7f2a02fd0e60>,quantile,no,knn,7.600000000000001,2.6981475126464085,318.2114499070268,141.74622241151167,0.4771696673651734,0.057269370257620945
18,H3K36me3,<function mean at 0x7f2a02fd0e60>,quantile,no,random_forest,7.5424349315068495,3.1683552922999336,177.364875864967,90.40225516103062,0.7124759210832932,0.07969846444133552
19,H3K36me3,<function mean at 0x7f2a02fd0e60>,quantile,no,gbr,5.156096343972136,1.5611707959321317,192.78002943705067,76.81235475769458,0.6739126117863736,0.07260115328048646
