,Histone,Function,Scaler,Age Transform,Model,Mean MAE,Std MAE,Mean MSE,Std MSE,Mean R2,Std R2
0,H3K27ac,<function mean at 0x7f2a02fd0e60>,no,no,elastic_net,8.368575091632643,1.4655175904212634,169.2303165788759,15.768132720759287,0.7339374830802894,0.06665216443460846
1,H3K27ac,<function mean at 0x7f2a02fd0e60>,no,no,svr,14.324345007099208,1.303516054977287,608.8614812431232,148.26464369027298,0.08280160904621475,0.18229494832833992
2,H3K27ac,<function mean at 0x7f2a02fd0e60>,no,no,knn,6.507876712328766,2.4752295793031167,259.5879530866859,96.09538063646696,0.6074308132768609,0.14462960431644994
3,H3K27ac,<function mean at 0x7f2a02fd0e60>,no,no,random_forest,6.511575342465755,1.2364541118505543,212.34776797319495,32.728133709071514,0.6775967141037347,0.031478894327403646
4,H3K27ac,<function mean at 0x7f2a02fd0e60>,no,no,gbr,4.633994659834192,1.1107412561491063,228.5581556350837,32.37096314446738,0.6477126926071539,0.06381474976524028
5,H3K27ac,<function mean at 0x7f2a02fd0e60>,standard,no,elastic_net,6.783734053328641,0.829879093890651,148.35397134236638,27.210486892635092,0.7756525745609104,0.02834993742094322
6,H3K27ac,<function mean at 0x7f2a02fd0e60>,standard,no,svr,15.08134204257625,1.909441286456635,632.971527688266,150.37214744712014,0.045512480697330854,0.18453618799121496
7,H3K27ac,<function mean at 0x7f2a02fd0e60>,standard,no,knn,7.300000000000001,1.7790446874657202,266.40895574471546,70.5494508262411,0.6007129840930909,0.07699790558349569
8,H3K27ac,<function mean at 0x7f2a02fd0e60>,standard,no,random_forest,6.545325342465755,1.16553460130632,212.1959919344981,32.86215460752364,0.6778132451817442,0.03193235074119628
9,H3K27ac,<function mean at 0x7f2a02fd0e60>,standard,no,gbr,4.633994659834192,1.1107412561491063,228.5580986598711,32.37104302060025,0.6477127731279393,0.06381486763181875
10,H3K27ac,<function mean at 0x7f2a02fd0e60>,robust,no,elastic_net,7.596550283397102,1.7326974087094043,165.5325868257761,37.918808808672836,0.7459803705171315,0.06196641954769424
11,H3K27ac,<function mean at 0x7f2a02fd0e60>,robust,no,svr,14.388251123761105,1.5004880348952432,621.8015853940656,154.35381594569387,0.06310372375320439,0.193042208173262
12,H3K27ac,<function mean at 0x7f2a02fd0e60>,robust,no,knn,7.25,2.037768387231483,273.71714883048276,54.17063014508807,0.5873019447892504,0.05028400363019273
13,H3K27ac,<function mean at 0x7f2a02fd0e60>,robust,no,random_forest,6.545325342465755,1.16553460130632,212.1959919344981,32.86215460752364,0.6778132451817442,0.03193235074119628
14,H3K27ac,<function mean at 0x7f2a02fd0e60>,robust,no,gbr,4.633994659834192,1.1107412561491063,228.5580986598711,32.37104302060025,0.6477127731279393,0.06381486763181875
15,H3K27ac,<function mean at 0x7f2a02fd0e60>,quantile,no,elastic_net,6.95864050148797,0.8085648188310681,158.19202920841906,37.69608261778517,0.7629247469908006,0.026608602520841067
16,H3K27ac,<function mean at 0x7f2a02fd0e60>,quantile,no,svr,15.687456255161894,1.748774784161397,650.558468320519,138.12798764018302,0.016588651258430703,0.1639894663312605
17,H3K27ac,<function mean at 0x7f2a02fd0e60>,quantile,no,knn,6.699999999999999,2.1840329667841556,263.6935962716751,48.50484702570737,0.5988223125632391,0.062473369247721365
18,H3K27ac,<function mean at 0x7f2a02fd0e60>,quantile,no,random_forest,6.331058219178083,1.1755521684184027,212.15600960717225,32.293710547803194,0.6779863309086099,0.029125701254114542
19,H3K27ac,<function mean at 0x7f2a02fd0e60>,quantile,no,gbr,4.718591293779353,1.1087473044508644,228.85397095530558,32.144151942258425,0.6472880242136166,0.06341263873292705
20,H3K27ac,<function mean at 0x7f2a02fd0e60>,no,loglinear,elastic_net,8.305168067312048,2.1122886902696534,178.89842632792733,48.65970351479085,0.7140741876671377,0.11159747952418159
21,H3K27ac,<function mean at 0x7f2a02fd0e60>,no,loglinear,svr,7.161149608803124,1.9610638176692365,231.2328541255938,31.39051045891955,0.6464032481697362,0.046795448217472946
22,H3K27ac,<function mean at 0x7f2a02fd0e60>,no,loglinear,knn,6.684934585989012,1.9091963557126228,246.03734833448573,91.24444662843977,0.6280852012183348,0.13750886285302052
23,H3K27ac,<function mean at 0x7f2a02fd0e60>,no,loglinear,random_forest,6.144529058675376,0.7156215902925768,179.20296285140768,24.006885642471214,0.7229402355379208,0.053375854041683296
24,H3K27ac,<function mean at 0x7f2a02fd0e60>,no,loglinear,gbr,5.225038980769415,0.3006373313212612,215.77180100821536,85.7926787726121,0.6573501103659557,0.15642667814616476
25,H3K27ac,<function mean at 0x7f2a02fd0e60>,standard,loglinear,elastic_net,7.009480349444253,1.4646157777840858,183.31365963128013,39.50621543305961,0.7204497021669953,0.052874419602097836
26,H3K27ac,<function mean at 0x7f2a02fd0e60>,standard,loglinear,svr,8.504427515680216,1.9610508845909926,225.04354712433934,37.62367714592852,0.6592855701576465,0.03656869228340215
27,H3K27ac,<function mean at 0x7f2a02fd0e60>,standard,loglinear,knn,7.561000404673036,2.084117337000191,252.94344343720246,68.12613125469831,0.6230515265623614,0.06965747009095483
28,H3K27ac,<function mean at 0x7f2a02fd0e60>,standard,loglinear,random_forest,6.1157790586753755,0.6910581418578966,179.75538144890209,23.740791658370533,0.721845103606187,0.05441067620902983
29,H3K27ac,<function mean at 0x7f2a02fd0e60>,standard,loglinear,gbr,5.225038980769415,0.3006373313212612,215.77180100821536,85.7926787726121,0.6573501103659557,0.15642667814616476
