,mean_train_auto_mse,mean_val_auto_mse,mean_train_auto_mae,mean_val_auto_mae,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 16 3 0.0001 0.0 0.01 50 0.1,58.364450454711914,148.77906799316406,1.7615117728710175,6.48045289516449,18.647748708724976,98.14426803588867,15.920191287994385,118.79779052734375,3.0687180757522583,7.495217204093933
simple_nn 16 3 0.0001 0.0 0.01 50 0.2,62.05128574371338,150.24197578430176,2.194382220506668,6.484210729598999,18.915696620941162,87.64548397064209,16.58898663520813,114.73915576934814,3.061330258846283,7.178708910942078
simple_nn 16 3 0.0001 0.0 0.01 50 0.3,66.42277526855469,168.99784088134766,2.5130035281181335,7.000009059906006,18.644070386886597,86.28006935119629,16.74102282524109,121.64213180541992,3.0849501490592957,7.160049796104431
simple_nn 16 3 0.0001 0.0 0.01 150 0.1,72.8630485534668,152.5273151397705,1.7206289172172546,6.0297383069992065,21.327332019805908,65.66173839569092,16.86080837249756,88.3318567276001,3.06989848613739,6.276254177093506
simple_nn 16 3 0.0001 0.0 0.01 150 0.2,75.42477798461914,166.60850143432617,2.048566699028015,6.35333526134491,19.435637950897217,96.10585975646973,12.030455470085144,117.04239082336426,2.6916478276252747,7.076490879058838
simple_nn 16 3 0.0001 0.0 0.01 150 0.3,81.03734970092773,173.28010368347168,2.5723385214805603,6.851925611495972,20.74676752090454,87.1908950805664,17.48849630355835,114.18839931488037,3.1002277135849,7.081267952919006
simple_nn 16 3 0.0001 0.0 0.01 300 0.1,104.91433906555176,212.51256942749023,1.7866483926773071,6.570720911026001,21.259825706481934,93.97149181365967,11.321362495422363,124.37572860717773,2.535524308681488,6.986448287963867
simple_nn 16 3 0.0001 0.0 0.01 300 0.2,109.39212226867676,195.87559509277344,2.1730512976646423,6.297531008720398,21.966294765472412,92.04430103302002,11.721107602119446,101.53231048583984,2.5857983827590942,6.474066138267517
simple_nn 16 3 0.0001 0.0 0.01 300 0.3,114.96105575561523,243.05212783813477,2.4907251596450806,7.126186728477478,22.41738510131836,92.09578895568848,16.16609263420105,128.97837257385254,2.9699270129203796,6.802244663238525
simple_nn 16 3 0.0001 0.0 0.01 450 0.1,135.46184921264648,249.73888397216797,1.7630464732646942,7.1062116622924805,21.921618461608887,90.08314514160156,10.739542961120605,121.54644203186035,2.510835349559784,6.967180013656616
