,Histone,Function,Scaler,Age Transform,Model,Mean MAE,Std MAE,Mean MSE,Std MSE,Mean R2,Std R2
0,H3K4me3,<function mean at 0x7f2a02fd0e60>,no,no,elastic_net,8.600495396753118,3.2812524144403405,168.49805950057535,71.40480749232329,0.7695519777337301,0.05644410662972502
1,H3K4me3,<function mean at 0x7f2a02fd0e60>,no,no,svr,15.46257619039126,6.80820920831514,737.5375798347487,275.69426450757044,-0.012507987994226893,0.16455021332911665
2,H3K4me3,<function mean at 0x7f2a02fd0e60>,no,no,knn,11.0,3.2411417741283715,354.94627140334177,205.83293752644457,0.5227867057115627,0.17683447167081826
3,H3K4me3,<function mean at 0x7f2a02fd0e60>,no,no,random_forest,7.893525684931508,3.075204180653103,225.75743815603118,106.44529882840942,0.6927896942995229,0.09002865531053449
4,H3K4me3,<function mean at 0x7f2a02fd0e60>,no,no,gbr,7.740752028082493,2.4439554752665367,228.8869640773722,100.96466716622714,0.6845464203180835,0.08748303591166463
5,H3K4me3,<function mean at 0x7f2a02fd0e60>,standard,no,elastic_net,5.902714053840053,1.2500845583556943,141.52385916352057,41.7337754894904,0.8014107000838157,0.02855214599209948
6,H3K4me3,<function mean at 0x7f2a02fd0e60>,standard,no,svr,15.155132800067292,7.1374061926795624,708.6998043719589,260.57486139816297,0.023935386144063375,0.156644893135855
7,H3K4me3,<function mean at 0x7f2a02fd0e60>,standard,no,knn,11.700068493150686,2.4432590436086126,380.5668341500724,207.46507637663842,0.48781745404287113,0.17036775934466986
8,H3K4me3,<function mean at 0x7f2a02fd0e60>,standard,no,random_forest,7.896265410958905,3.0393969348553007,225.99763020072672,106.71522832077237,0.692593805817924,0.0901809355499889
9,H3K4me3,<function mean at 0x7f2a02fd0e60>,standard,no,gbr,7.740752028082493,2.4439554752665367,228.8869640773722,100.96466716622714,0.6845464203180835,0.08748303591166463
10,H3K4me3,<function mean at 0x7f2a02fd0e60>,robust,no,elastic_net,6.8681170333623545,1.9563499632386112,185.03675282777033,71.11926472333987,0.7348799447241648,0.08954437692976717
11,H3K4me3,<function mean at 0x7f2a02fd0e60>,robust,no,svr,14.881892381096861,7.140768020775394,697.2982144583938,256.543728509745,0.03986606447120944,0.15392863980298993
12,H3K4me3,<function mean at 0x7f2a02fd0e60>,robust,no,knn,10.111883561643836,3.3879474395304907,352.47469508204017,203.2764757402445,0.5278488654709149,0.1713107713367962
13,H3K4me3,<function mean at 0x7f2a02fd0e60>,robust,no,random_forest,7.896265410958905,3.0393969348553007,225.99763020072672,106.71522832077237,0.692593805817924,0.0901809355499889
14,H3K4me3,<function mean at 0x7f2a02fd0e60>,robust,no,gbr,7.740752028082493,2.4439554752665367,228.8869640773722,100.96466716622714,0.6845464203180835,0.08748303591166463
15,H3K4me3,<function mean at 0x7f2a02fd0e60>,quantile,no,elastic_net,7.057826783497009,1.5767793667165546,211.45690265424642,103.92885523645276,0.7122453326257568,0.08683732832683821
16,H3K4me3,<function mean at 0x7f2a02fd0e60>,quantile,no,svr,15.33876116846655,7.811745875687093,718.5010842121364,262.41169114946,0.010588273093312145,0.15533165323004172
17,H3K4me3,<function mean at 0x7f2a02fd0e60>,quantile,no,knn,12.004315068493149,3.379304923889603,394.76296680912475,211.78650714988723,0.468766979803135,0.17188834079683957
18,H3K4me3,<function mean at 0x7f2a02fd0e60>,quantile,no,random_forest,8.13300684931507,3.0962804669157333,227.73936984852972,105.32317449331117,0.6898517832277649,0.08855528647635783
19,H3K4me3,<function mean at 0x7f2a02fd0e60>,quantile,no,gbr,7.850478237088949,2.360817707178845,229.11586541192975,100.41026280810553,0.6839464446429385,0.08799795559176389
20,H3K4me3,<function mean at 0x7f2a02fd0e60>,no,loglinear,elastic_net,9.346543690894272,2.9024409248122907,207.45804896122246,55.510632869419595,0.6869485151497684,0.11032652132152229
21,H3K4me3,<function mean at 0x7f2a02fd0e60>,no,loglinear,svr,11.941106262654213,7.445390054289187,414.83404562591693,236.66723279852664,0.4486945016531836,0.19445666846208426
22,H3K4me3,<function mean at 0x7f2a02fd0e60>,no,loglinear,knn,9.81431091642375,2.1957948876255333,290.5183263379283,146.4935168179741,0.6014919009693266,0.12911271849982534
23,H3K4me3,<function mean at 0x7f2a02fd0e60>,no,loglinear,random_forest,4.98864680687985,1.3307544046083142,184.3830839191391,59.41184179160089,0.7431071591052322,0.06408030313593975
24,H3K4me3,<function mean at 0x7f2a02fd0e60>,no,loglinear,gbr,4.135129303524561,0.26211665659408045,172.15614768055036,65.37079251962112,0.7628733128872927,0.07984606793697055
25,H3K4me3,<function mean at 0x7f2a02fd0e60>,standard,loglinear,elastic_net,5.924679589718898,1.3606999128860664,164.51672320480563,14.09256077258711,0.7611873310971689,0.032441089040238236
26,H3K4me3,<function mean at 0x7f2a02fd0e60>,standard,loglinear,svr,10.851895454697162,4.407767231868063,342.17254054071765,184.95643870465796,0.5404367805920731,0.14994215791637452
27,H3K4me3,<function mean at 0x7f2a02fd0e60>,standard,loglinear,knn,9.468800203027987,1.3477792136098077,350.18400744339135,111.3260472071453,0.5096411702534036,0.07726025087775525
28,H3K4me3,<function mean at 0x7f2a02fd0e60>,standard,loglinear,random_forest,5.011706031036191,1.3532604075498547,184.33879438465186,59.593404083416075,0.7431976754630119,0.0645142004450492
29,H3K4me3,<function mean at 0x7f2a02fd0e60>,standard,loglinear,gbr,4.135129303524561,0.26211665659408045,172.14009270750373,65.35968924793272,0.7628974550300064,0.07981893470733914
